TC9,TC8,TC7,TC6,TC5,TC4,TC3,TC2,TC1,TCi,TCe
38.094429,37.7076874,38.0298347,37.6554489,36.3194199,34.9633522,33.102726,31.9318619,31.687685,24.5218716,36.7185707
37.9971275,37.6077766,37.9316635,37.5618973,36.240078,34.8913956,33.0342636,31.878212,31.6441288,24.5212517,36.675396
37.8908882,37.520443,37.8468246,37.4697456,36.1506615,34.82164,32.9906425,31.8269405,31.5998421,24.520504,36.64291
37.7957535,37.4341927,37.7457962,37.3786545,36.0704689,34.7324295,32.8988838,31.7556744,31.5120811,24.5129414,36.571167
37.677803,37.3278809,37.6483498,37.2888756,35.9764023,34.6566811,32.8198471,31.6945534,31.4450836,24.5023479,36.5543976
37.5821037,37.2459221,37.5601578,37.1921692,35.8860512,34.5767174,32.7692566,31.6492367,31.3957386,24.5021858,36.5030785
37.4851189,37.1663971,37.4691849,37.1012383,35.8153305,34.5106354,32.7214012,31.5935059,31.3529568,24.498188,36.4733696
37.390892,37.0746689,37.3790627,37.0122223,35.727066,34.4378395,32.6452866,31.5306702,31.2593803,24.4912872,36.4248543
37.2907944,36.9844551,37.2905769,36.9402428,35.6537514,34.364254,32.5862236,31.4725285,31.2106838,24.4977131,36.3666077
37.1945229,36.9064903,37.2053909,36.8526039,35.5782814,34.2943382,32.5299225,31.425272,31.1539154,24.4845753,36.3593597
37.1002235,36.8217201,37.1291389,36.7588844,35.4955978,34.2381401,32.4818153,31.3885384,31.1392231,24.4836216,36.3364067
37.0241966,36.7463531,37.0506325,36.6900749,35.4314346,34.1858864,32.4402542,31.3656006,31.1066952,24.4757805,36.2893219
36.9473763,36.6837158,36.9741096,36.6336327,35.3724518,34.1405144,32.4107742,31.3274498,31.0680389,24.4806213,36.2593956
36.8605576,36.6031952,36.9093895,36.5508537,35.3115196,34.0723572,32.3499756,31.2778473,31.0285645,24.4795837,36.218483
36.8030319,36.5223045,36.8377113,36.4699135,35.2497635,34.0176315,32.3039589,31.241787,30.9776268,24.4675026,36.181839
36.7333755,36.4598198,36.7529793,36.4116402,35.1830292,33.963707,32.2638283,31.2077694,30.9369335,24.4542027,36.1740227
36.6832924,36.3898849,36.6847458,36.3374367,35.121933,33.9175568,32.2313652,31.1753616,30.9113789,24.4651394,36.1504593
36.6222572,36.3331413,36.6272087,36.2972755,35.079792,33.8863525,32.2137375,31.157156,30.9012203,24.4561081,36.1347237
36.5653419,36.2776985,36.5691452,36.2432175,35.0287056,33.8411522,32.1857605,31.1511822,30.884716,24.4485989,36.1127357
36.4965324,36.2043533,36.505558,36.1700516,34.9724655,33.7999496,32.1553116,31.1176815,30.8404598,24.4539165,36.0937805
36.4470825,36.1567345,36.4424515,36.1098022,34.9159698,33.7515945,32.1093979,31.0810661,30.800869,24.4380035,36.0552139
36.3931084,36.0999451,36.3788376,36.0625267,34.8813324,33.7189636,32.0897179,31.0608177,30.7833328,24.4392338,36.0657272
36.3427162,36.048027,36.3402939,36.0117378,34.8464622,33.6971703,32.0900002,31.0864449,30.811306,24.4392433,36.0698433
36.3022079,36.0062828,36.2876167,35.9678459,34.8096466,33.6703758,32.067852,31.0770206,30.7897549,24.4486675,36.0387421
36.2567787,35.9530373,36.245266,35.9256477,34.7712021,33.6474762,32.0479698,31.0524826,30.7723866,24.4416389,35.9854012
36.1998558,35.9041939,36.1956177,35.8707352,34.7244072,33.6123619,32.0223694,31.023283,30.7346172,24.4330406,35.9511681
36.1462784,35.8467598,36.1319008,35.8332977,34.6768112,33.5614281,31.98456,30.9788094,30.6933002,24.4309559,35.9441833
36.105938,35.7907562,36.0732765,35.7744942,34.6309128,33.5275078,31.9384327,30.9348774,30.6556816,24.4278488,35.9069862
